,Original_Tweet,Sentiment,message
10,AmitShah News18 Rising India is a platform that showcases the diversity and complexity of Indian politics. https://t.co/6uIv3ahEpE,Neutral,AmitShah News18 Rising India is a platform that showcases the diversity and complexity of Indian politics. https://t.co/6uIv3ahEpE
11,"As someone who is passionate about Indian politics, I'm eager to see AmitShah's take on current events on News18 Rising India. https://t.co/TWQhSpQ552",Negative,"As someone who is passionate about Indian politics, I'm eager to see AmitShah's take on current events on News18 Rising India. https://t.co/TWQhSpQ552"
12,"AmitShah News18 Rising India is the
place to be for anyone who wants to
stay informed about the latest
developments in Indian politics. https://t.co/SHfqfxDsra",Positive,"AmitShah News18 Rising India is the
place to be for anyone who wants to
stay informed about the latest
developments in Indian politics. https://t.co/SHfqfxDsra"
13,AmitShah News18 Rising India never fails to provide thought-provoking insights and analysis on Indian politics. https://t.co/gxjsvIhbZU,Positive,AmitShah News18 Rising India never fails to provide thought-provoking insights and analysis on Indian politics. https://t.co/gxjsvIhbZU
14,@POTUS Under Biden politics American manufacturing industries going inhouse raw material production not depend on imports only America exports with quality a priority to globally . We indian govt inspire without depend raw materials from China's sub standard materials . Alas politics 😸,Negative,@POTUS Under Biden politics American manufacturing industries going inhouse raw material production not depend on imports only America exports with quality a priority to globally . We indian govt inspire without depend raw materials from China's sub standard materials . Alas politics 😸
15,"@SilvioTattiscon Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@SilvioTattiscon Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
16,"Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
17,"@AmyMek Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@AmyMek Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
18,"@UnityNewsNet Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@UnityNewsNet Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
19,"@AgentP22 Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@AgentP22 Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
20,"@Justice_forum Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@Justice_forum Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
21,"Any take on appeasement vote bank politics,on open call for violence in the name of religion,on instigation by some policians to vote on that basis?  After decades of slug Indian state is 'important' now to take it in right perspective.

https://t.co/qPiEInE7tT
via @pghosh006",Positive,"Any take on appeasement vote bank politics,on open call for violence in the name of religion,on instigation by some policians to vote on that basis?  After decades of slug Indian state is 'important' now to take it in right perspective.

https://t.co/qPiEInE7tT
via @pghosh006"
22,"@reejanbhatta @mufaddal_vohra its not about politics,its about security. Though other overseas players play in pakistan but pakistan people hate indian people so security issue",Negative,"@reejanbhatta @mufaddal_vohra its not about politics,its about security. Though other overseas players play in pakistan but pakistan people hate indian people so security issue"
23,The bull dozer politics of indian govt officials on helpless folks,Neutral,The bull dozer politics of indian govt officials on helpless folks
24,@shivkant_gautam ha e listen suketu statment by his mouth arvind kejriwal soon join in tehad jail because he give 150 cr to his aam admi party and kajirval biggest papu of indian politics he is doing one thing his life out elagation and say sorry in court 7 time take apology.,Negative,@shivkant_gautam ha e listen suketu statment by his mouth arvind kejriwal soon join in tehad jail because he give 150 cr to his aam admi party and kajirval biggest papu of indian politics he is doing one thing his life out elagation and say sorry in court 7 time take apology.
25,@mufaddal_vohra Simply politics or India fear they can't win single match in Pakistan.. Two points are fact.. other teams are played in Pakistan  ...🤔🤔🤔 As Indian fan of cricket we love to play cricket in Pakistan and win every matches.. only politician do politics simply,Positive,@mufaddal_vohra Simply politics or India fear they can't win single match in Pakistan.. Two points are fact.. other teams are played in Pakistan  ...🤔🤔🤔 As Indian fan of cricket we love to play cricket in Pakistan and win every matches.. only politician do politics simply
26,@jazzydomenique The National Museum of the American Indian has the best cafeteria food + visit top floor for history of tribes &amp; diplomacy. In Adams Morgan you can visit famous Ben's Chili Bowl &amp; also do walking tour of black history. In Dupont Circle there is a walking tour around women's orgs.,Positive,@jazzydomenique The National Museum of the American Indian has the best cafeteria food + visit top floor for history of tribes &amp; diplomacy. In Adams Morgan you can visit famous Ben's Chili Bowl &amp; also do walking tour of black history. In Dupont Circle there is a walking tour around women's orgs.
27,"Out of all the snippets I've collected over the past couple of months, this one stands out.

Speaks a lot about the fundamental character of Indian psyche and how it interacts with politics. https://t.co/YJ310xwuFR",Negative,"Out of all the snippets I've collected over the past couple of months, this one stands out.

Speaks a lot about the fundamental character of Indian psyche and how it interacts with politics. https://t.co/YJ310xwuFR"
28,"Indian  defence have failure  to protect my life. Every power  nation knows technology  science in modern age.

Indian  government poisoned me and did brutality with  my body and mind for their politics of konkan and sir name.

Now, I say do what I did. Protect vulnerable. https://t.co/E1HBycohRc",Negative,"Indian  defence have failure  to protect my life. Every power  nation knows technology  science in modern age.

Indian  government poisoned me and did brutality with  my body and mind for their politics of konkan and sir name.

Now, I say do what I did. Protect vulnerable. https://t.co/E1HBycohRc"
29,@AamAadmiParty @ArvindKejriwal Your are biggest and ugliest joker of Indian politics,Neutral,@AamAadmiParty @ArvindKejriwal Your are biggest and ugliest joker of Indian politics
30,"Hate speeches will go away when politicians stop using religion in politics, says Supreme Court | India News,The Indian Express https://t.co/hp0qKdRjeT",Negative,"Hate speeches will go away when politicians stop using religion in politics, says Supreme Court | India News,The Indian Express https://t.co/hp0qKdRjeT"
31,"@mufaddal_vohra That ICC official may work in Bollywood or doing odd reporting for Indian Media ....
But the GM of ICC stated this 👇👇👇
Bangabandu National Stadium Dhaka will host 🇵🇰vs🇮🇳 ,a match that can easily be hosted in Ahmedabad,Kolkata or Chennai but BCCI prefers to play Politics https://t.co/pAh9nVGKj0",Positive,"@mufaddal_vohra That ICC official may work in Bollywood or doing odd reporting for Indian Media ....
But the GM of ICC stated this 👇👇👇
Bangabandu National Stadium Dhaka will host 🇵🇰vs🇮🇳 ,a match that can easily be hosted in Ahmedabad,Kolkata or Chennai but BCCI prefers to play Politics https://t.co/pAh9nVGKj0"
32,Narendra Modi is a legend of Indian politics.,Neutral,Narendra Modi is a legend of Indian politics.
33,"@AamAadmiParty @ArvindKejriwal This lavanasur started his career against Congress , DMK, Samajwadi Party, RJd etc.
He had tons of papers as proof,

Instead he went and asked for an apology in writing.
Him Rajneeti Badlne aaye hain.

Such a fall..
The biggest fraud the Indian politics has ever seen.",Neutral,"@AamAadmiParty @ArvindKejriwal This lavanasur started his career against Congress , DMK, Samajwadi Party, RJd etc.
He had tons of papers as proof,

Instead he went and asked for an apology in writing.
Him Rajneeti Badlne aaye hain.

Such a fall..
The biggest fraud the Indian politics has ever seen."
34,"At present, the biggest strategist of Indian politics, who has brought BJP to such a great position, has to listen closely. AmitShah News18 Rising India",Positive,"At present, the biggest strategist of Indian politics, who has brought BJP to such a great position, has to listen closely. AmitShah News18 Rising India"
35,"Whether you agree with his views or not, AmitShah is an important figure in Indian politics. It will be interesting to hear his thoughts on AmitShah News18 Rising India.",Positive,"Whether you agree with his views or not, AmitShah is an important figure in Indian politics. It will be interesting to hear his thoughts on AmitShah News18 Rising India."
36,"@DurbinHypocrite @KapilSibal Only questioning the dirty Indian politics. Of course, RG did the right thing by vacating. I hope they give 30-60 days notice (just like for H1Bs that are laid off) in India to find a place and such..😁",Negative,"@DurbinHypocrite @KapilSibal Only questioning the dirty Indian politics. Of course, RG did the right thing by vacating. I hope they give 30-60 days notice (just like for H1Bs that are laid off) in India to find a place and such..😁"
37,@TajinderBagga This guy  Arvind गिरगिटानन्द Kejriwal is Shameless and Third grade  Politician i have ever seen in Indian Politics.       Cheap Guy,Positive,@TajinderBagga This guy  Arvind गिरगिटानन्द Kejriwal is Shameless and Third grade  Politician i have ever seen in Indian Politics.       Cheap Guy
38,"Cool. 

Now, can we stop crying over the disqualification of Wayanad MP? 

He is not the saviour - he &amp; the stranglehold of the Dynasty represent the real problem with the progressive forces of Indian politics.",Positive,"Cool. 

Now, can we stop crying over the disqualification of Wayanad MP? 

He is not the saviour - he &amp; the stranglehold of the Dynasty represent the real problem with the progressive forces of Indian politics."
39,#RahulgandhiINSULTsKartiChidambaram in full public view.  Fight between #Sivaganga and #Sicily is a major side-show of  Indian Politics?,Positive,#RahulgandhiINSULTsKartiChidambaram in full public view.  Fight between #Sivaganga and #Sicily is a major side-show of  Indian Politics?
40,"8) The Holy Spirit 
9) The Indian Caste System 
10) Dextrocardia
Tbh there’s a lot of things I can talk about for 30 minutes without preparation ranging from God and Christianity to Medicine to History to Psychology to Activism to Socio-economic issues to Politics.",Positive,"8) The Holy Spirit 
9) The Indian Caste System 
10) Dextrocardia
Tbh there’s a lot of things I can talk about for 30 minutes without preparation ranging from God and Christianity to Medicine to History to Psychology to Activism to Socio-economic issues to Politics."
41,"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/deZfFTjaBH",Negative,"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/deZfFTjaBH"
42,"@timesofindia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/9EzmGnlXpA",Negative,"@timesofindia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/9EzmGnlXpA"
43,"Respected Indian Citizens, Namaskaar🙏🙏
👉I am the original Gandhi. 
👉I have No Branches 
👉No franchises. 
👉None of my relatives are in Politics. 
*Beware of FAKE Gandhis.* 
*Take care🙏* https://t.co/pqWj3sYjqp",Negative,"Respected Indian Citizens, Namaskaar🙏🙏
👉I am the original Gandhi. 
👉I have No Branches 
👉No franchises. 
👉None of my relatives are in Politics. 
*Beware of FAKE Gandhis.* 
*Take care🙏* https://t.co/pqWj3sYjqp"
44,@rohan_rohit Please read chanakya my dear then blabber it is one of the philosophies he quoted to have greater nation and being used by many ages and your prince is providing it right as well by colliding with chineses and asking foreign countries to help in Indian politics.,Positive,@rohan_rohit Please read chanakya my dear then blabber it is one of the philosophies he quoted to have greater nation and being used by many ages and your prince is providing it right as well by colliding with chineses and asking foreign countries to help in Indian politics.
45,The way the opposition political parties are creating chaos in Indian Democratic Politics : It's time a ruthless Dictatorship rule has to be implemented for years to come &amp; abolish the multiparty in politics.... and it's inevitable. It will happen sooner or later @Jairam_Ramesh,Negative,The way the opposition political parties are creating chaos in Indian Democratic Politics : It's time a ruthless Dictatorship rule has to be implemented for years to come &amp; abolish the multiparty in politics.... and it's inevitable. It will happen sooner or later @Jairam_Ramesh
46,"US Watching Rahul's Case In Indian Courts: State Department

#IndiaWest #RahulGandhi #PoliticalNews #Politics #IndianNationalCongress #Congress #WashingtonDC #Washington

https://t.co/nGaOIiHWvn",Neutral,"US Watching Rahul's Case In Indian Courts: State Department

#IndiaWest #RahulGandhi #PoliticalNews #Politics #IndianNationalCongress #Congress #WashingtonDC #Washington

https://t.co/nGaOIiHWvn"
47,"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/GOfGZf0uF4",Negative,"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/GOfGZf0uF4"
48,@ashokgehlot51 What a cheap level of politics tactics and media publicity is being used by Raj Govt. I guess they should go to Bollywood for their display of fictional videos. Really Indian public is such a fool. Shame on you all,Positive,@ashokgehlot51 What a cheap level of politics tactics and media publicity is being used by Raj Govt. I guess they should go to Bollywood for their display of fictional videos. Really Indian public is such a fool. Shame on you all
49,"@vijaygajera Encouragement  should be done to induce more and more bhrahmins in Indian civil services and also in politics. 

Like Muslims are doing free coaching and etc to induce Muslim in civil services",Positive,"@vijaygajera Encouragement  should be done to induce more and more bhrahmins in Indian civil services and also in politics. 

Like Muslims are doing free coaching and etc to induce Muslim in civil services"
50,@Cricketracker Indian use politics in cricket,Neutral,@Cricketracker Indian use politics in cricket
51,"@AitcProvat @INCIndia INC had squandered another precious, rare opportunity recently - in Bihar 2020.   Their seemingly casual, non-serious &amp; lazy approach to electoral politics is utterly astounding. 
Indian voters, broadly, vote rationally- despite all the irrational/poor electoral choices they get.",Negative,"@AitcProvat @INCIndia INC had squandered another precious, rare opportunity recently - in Bihar 2020.   Their seemingly casual, non-serious &amp; lazy approach to electoral politics is utterly astounding. 
Indian voters, broadly, vote rationally- despite all the irrational/poor electoral choices they get."
52,"@INCIndia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/jk2FwRHLLo",Negative,"@INCIndia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/jk2FwRHLLo"
53,"A story of Indian politics these days 
🐆 Rahul 
🐊 opponents",Neutral,"A story of Indian politics these days 
🐆 Rahul 
🐊 opponents"
54,"Indian Politics.
#Politics #India https://t.co/7rLtCEzIQC",Neutral,"Indian Politics.
#Politics #India https://t.co/7rLtCEzIQC"
55,"@Sab_mile_Hue @madhukishwar @RatanSharda55 @AtriNeeraj @Sanjay_Dixit @TufailChaturve They are commentators.
They can't decipher the character of the Indian State.

Hindus were wary of the UPA rule.
Now they are totally disappointed with NDA rule.

No Hindu knows mathematics, politics, diplomatic language.
Enjoy ☺️",Negative,"@Sab_mile_Hue @madhukishwar @RatanSharda55 @AtriNeeraj @Sanjay_Dixit @TufailChaturve They are commentators.
They can't decipher the character of the Indian State.

Hindus were wary of the UPA rule.
Now they are totally disappointed with NDA rule.

No Hindu knows mathematics, politics, diplomatic language.
Enjoy ☺️"
56,@scribe_it I think generally BJP and Indian Government is loyal to Truth and Freedom; but I don’t know if it has been Politicized or Corporatized having been in Indian Politics.,Positive,@scribe_it I think generally BJP and Indian Government is loyal to Truth and Freedom; but I don’t know if it has been Politicized or Corporatized having been in Indian Politics.
57,"@AlenCBabu1 In different parts of the nation  different communities show their might &amp;  overshadow others right from independence because of appeasement politics played by various parties.
We reiterate: everyone of every religion should be Indian first.
Appeasement politics has been played",Positive,"@AlenCBabu1 In different parts of the nation  different communities show their might &amp;  overshadow others right from independence because of appeasement politics played by various parties.
We reiterate: everyone of every religion should be Indian first.
Appeasement politics has been played"
58,"@rupamurthy1 @POTUS @narendramodi If your are in US, y are you interfering with Indian politics?",Neutral,"@rupamurthy1 @POTUS @narendramodi If your are in US, y are you interfering with Indian politics?"
59,"Hate speeches will go away when politicians stop using religion in politics, says Supreme Court | India News,The Indian Express https://t.co/1kWd3C25uB",Negative,"Hate speeches will go away when politicians stop using religion in politics, says Supreme Court | India News,The Indian Express https://t.co/1kWd3C25uB"
60,@Sanginamby Had no clue he was sanghi what a waste of his intelligence but nonetheless NRI’s should have no opinion or participation in Indian politics play where u pay ur taxes,Negative,@Sanginamby Had no clue he was sanghi what a waste of his intelligence but nonetheless NRI’s should have no opinion or participation in Indian politics play where u pay ur taxes
61,@ANI Ur own law minister called few of Retired judges r anti Indian. All lawyers condemned but dint file case against!! What's use in doing when no power in hand ? Never knew Expressing=2yrs jail . It's personal hate politics oppressing strong voices !! It's not public favouring,Negative,@ANI Ur own law minister called few of Retired judges r anti Indian. All lawyers condemned but dint file case against!! What's use in doing when no power in hand ? Never knew Expressing=2yrs jail . It's personal hate politics oppressing strong voices !! It's not public favouring
62,"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/RQbRYHvRZU",Negative,"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/RQbRYHvRZU"
63,Now hindus r real khatrei mhei Hai bcoz of vote bank politics of bjp @Indian_Analyzer,Positive,Now hindus r real khatrei mhei Hai bcoz of vote bank politics of bjp @Indian_Analyzer
64,@sagarikaghose You don't get people holding that affection and demeanour towards opposition and even enemies  in Indian politics today.,Neutral,@sagarikaghose You don't get people holding that affection and demeanour towards opposition and even enemies  in Indian politics today.
65,"Fantastically poised.

Cong MLAs can go Tamil Nadu where they are in govt

JDS MLAs can go to Kerala where they are with LDF

BJP MLAs have two options of Goa &amp; Maharashtra

Others can go to Telangana

Resort politics is back 🤠 https://t.co/X2lDtsYQpv",Neutral,"Fantastically poised.

Cong MLAs can go Tamil Nadu where they are in govt

JDS MLAs can go to Kerala where they are with LDF

BJP MLAs have two options of Goa &amp; Maharashtra

Others can go to Telangana

Resort politics is back 🤠 https://t.co/X2lDtsYQpv"
66,"@sanjaynirupam The victory of @INCIndia in Karnataka will be turning point of Indian politics.
@RahulGandhi @priyankagandhi
@digvijaya_28 @JVSinghINC
@_SandeepDikshit @drajoykumar
@VijayIndrSingla @ShashiTharoor
@KBByju @navjivanindia
@vidyarthee @VineetPunia
@pranavINC
https://t.co/lGzq2HBHxM",Neutral,"@sanjaynirupam The victory of @INCIndia in Karnataka will be turning point of Indian politics.
@RahulGandhi @priyankagandhi
@digvijaya_28 @JVSinghINC
@_SandeepDikshit @drajoykumar
@VijayIndrSingla @ShashiTharoor
@KBByju @navjivanindia
@vidyarthee @VineetPunia
@pranavINC
https://t.co/lGzq2HBHxM"
67,"If #SupremeCourtOfIndia @SupremeCourtFan start take a taking action against the people who use religion for their politics.
Than it automatically stop.

#cjichandrachud",Positive,"If #SupremeCourtOfIndia @SupremeCourtFan start take a taking action against the people who use religion for their politics.
Than it automatically stop.

#cjichandrachud"
68,"@sanjaynirupam It will be turning point of Indian politics.
https://t.co/jwJqnmAMDm",Neutral,"@sanjaynirupam It will be turning point of Indian politics.
https://t.co/jwJqnmAMDm"
69,"I request to Indian  armforces. Enter in Pakistan  and blow head of Imran khan and give  message to  people, discipline is important. No Islamophobia. It's  matter of protection of innocent life. No politics.",Positive,"I request to Indian  armforces. Enter in Pakistan  and blow head of Imran khan and give  message to  people, discipline is important. No Islamophobia. It's  matter of protection of innocent life. No politics."
70,"'ye apne apradhon ke beparda hone k bhay se ikattha hue hain' this sums up the current political scenario in the country.
This Sushma Ji speech was relevant in 1996, in 2004, in 2018, now and will continue to be relevant in Indian politics in coming future. 
@BansuriSwaraj",Positive,"'ye apne apradhon ke beparda hone k bhay se ikattha hue hain' this sums up the current political scenario in the country.
This Sushma Ji speech was relevant in 1996, in 2004, in 2018, now and will continue to be relevant in Indian politics in coming future. 
@BansuriSwaraj"
71,"@LangaMahesh @ShuklaRajiv So being a dedicated &amp; loyal Politician in Indian Democracy, has to be someone who offers his bungalow to the biggest dynast in Indian Politics. 
Nice to knwo that",Positive,"@LangaMahesh @ShuklaRajiv So being a dedicated &amp; loyal Politician in Indian Democracy, has to be someone who offers his bungalow to the biggest dynast in Indian Politics. 
Nice to knwo that"
72,May be madness can come those are sensitive and perhaps indian politicians  thought like this way to do politics of fisherman's fish and cow beef  and goat meet and khana khana khana.,Negative,May be madness can come those are sensitive and perhaps indian politicians  thought like this way to do politics of fisherman's fish and cow beef  and goat meet and khana khana khana.
73,@Aryaismm Indian state has mechanisms to make sure our elites who rise up the ladder end up turning traitor. American elites who rise up still haven't changed fundamentals of their nation which is needed in India to free it from caste politics shackels.,Positive,@Aryaismm Indian state has mechanisms to make sure our elites who rise up the ladder end up turning traitor. American elites who rise up still haven't changed fundamentals of their nation which is needed in India to free it from caste politics shackels.
74,@ajithvakeel That is Indian politics 🤣,Neutral,@ajithvakeel That is Indian politics 🤣
75,"Respected Indian Citizens, Namaskaar🙏I am the original #Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/Otrgm2UEt9",Negative,"Respected Indian Citizens, Namaskaar🙏I am the original #Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/Otrgm2UEt9"
76,@ANI Your party got emotionally charged mandate after the demolition of Babri Mosque in 1992. Your party literally destroyed India's peace and unity and plunged it into atmosphere of hate and violence to remain alive in Indian politics. You're hell bent on eliminating opposition.,Negative,@ANI Your party got emotionally charged mandate after the demolition of Babri Mosque in 1992. Your party literally destroyed India's peace and unity and plunged it into atmosphere of hate and violence to remain alive in Indian politics. You're hell bent on eliminating opposition.
77,"@karthiks @sanjeevsanyal Matter of time. It'll get to where the US is. Media environment drives this. Anyway, Indian politics has only had a handful of years in the last 75 when it was actually competitive and not completely unipolar one way or the other. Unlike US where a 51-49 is a huge margin.",Positive,"@karthiks @sanjeevsanyal Matter of time. It'll get to where the US is. Media environment drives this. Anyway, Indian politics has only had a handful of years in the last 75 when it was actually competitive and not completely unipolar one way or the other. Unlike US where a 51-49 is a huge margin."
78,"Wow! The history of Indian politics has changed! If there are no issues to discuss in the Delhi Assembly, why not spend time criticizing the central government and PM Modi, Mr. Kejriwal? #DelhiAssembly #Kejriwal #CentralGovernment #PMModi #NoIssues #sarcasm",Positive,"Wow! The history of Indian politics has changed! If there are no issues to discuss in the Delhi Assembly, why not spend time criticizing the central government and PM Modi, Mr. Kejriwal? #DelhiAssembly #Kejriwal #CentralGovernment #PMModi #NoIssues #sarcasm"
